#{"t_start": 1739542587.171754, "env_id": "supertuxkart/full-v0"}
r,l,t
-125.833716,1500,5.591987
-142.395088,1500,8.041366
-135.069699,1500,10.425858
-149.831462,1500,12.530355
-98.717236,1500,14.927506
-124.218954,1500,17.318897
-115.917331,1500,19.456697
-95.118124,1500,21.786034
-145.990268,1500,24.220771
-79.174945,1500,26.867952
-143.183836,1500,29.604557
-102.895213,1500,31.740902
-93.501558,1500,34.028679
-108.170255,1500,36.954103
-147.143024,1500,40.064323
-49.777881,1500,42.716437
-79.541609,1500,44.961096
-70.755164,1500,47.879414
-117.205872,1500,50.021082
-105.0,1500,52.449801
-91.148825,1500,57.816532
-116.153814,1500,63.242009
-116.445476,1500,65.640621
-137.865505,1500,68.879622
-126.0,1500,71.032768
-150.0,1500,76.353941
-109.288788,1500,78.195982
-116.787012,1500,81.13899
-142.580022,1500,83.537257
-97.781235,1500,85.953286
-100.455627,1500,88.426649
-139.708825,1500,90.623337
-56.613153,1500,92.773262
-94.209419,1500,94.845653
-92.062524,1500,97.337518
-120.842492,1500,99.971755
-105.0,1500,102.258135
-121.19809,1500,105.044836
-108.430589,1500,107.322846
-52.371674,1500,110.086055
-131.943788,1500,113.241817
-100.207901,1500,115.4529
-103.0,1500,117.677664
-89.84278,1500,120.23698
-72.034552,1500,122.660879
-94.055256,1500,124.812231
-91.09184,1500,127.285436
-119.594746,1500,130.038637
-127.0,1500,132.179711
-116.571606,1500,134.903265
-108.172873,1500,137.863928
-74.804324,1500,140.423902
-111.097867,1500,142.231974
-139.253673,1500,145.486315
-82.254361,1500,148.400417
-66.891095,1500,151.37096
-87.964087,1500,153.733251
-69.090771,1500,156.130941
-116.908904,1500,159.403967
-115.564719,1500,161.818376
-135.789211,1500,167.142785
-106.968544,1500,170.216784
40.502448,1045,171.618761
-73.183575,1500,173.928369
-127.217053,1500,179.238936
-139.579091,1500,182.545428
-78.162326,1500,184.334006
-88.431647,1500,186.963157
-88.894562,1500,189.072072
-123.200534,1500,191.579791
-71.438116,1500,196.740609
-58.641614,1500,198.694287
-101.068134,1500,200.698315
-85.846375,1500,203.756574
-102.30162,1500,205.862298
-115.086665,1500,208.990209
-41.10459,1500,212.111792
-121.065608,1500,214.157714
-77.924756,1500,216.31799
-11.501111,1500,219.397259
-36.789211,1500,224.725142
-70.495746,1500,227.185742
-150.0,1500,229.435906
31.777875,933,230.826644
-14.478668,1500,233.874847
-121.434206,1500,236.125622
-73.398358,1500,238.593796
-95.211309,1500,240.969236
-147.525177,1500,243.489765
-34.337897,1500,245.97937
-136.981696,1500,248.936246
-60.032913,1500,251.138669
-46.571994,1500,256.39657
-117.124573,1500,261.703757
-99.500249,1500,264.409155
-115.708825,1500,266.467367
-112.541487,1500,268.737366
-123.066743,1500,271.11281
-124.50186,1500,274.127327
-92.549691,1500,278.595252
-102.749562,1500,284.016269
-18.415283,1500,286.483009
-103.944435,1500,289.010103
-18.624127,1500,291.582362
-82.0,1500,293.732604
-135.32197,1500,295.901531
-134.276045,1500,298.241694
-12.388489,1500,300.976052
-111.324413,1500,303.149482
-66.51178,1500,305.455699
-87.868681,1500,307.912592
-61.690649,1500,310.362912
-84.809445,1500,313.368235
-124.702282,1500,315.997586
-110.322,1500,318.715556
-126.0,1500,320.889894
-91.279913,1500,323.63285
-43.796552,1500,326.529797
-107.97675,1500,329.198881
-133.525249,1500,331.600924
-121.368446,1500,334.543948
-79.776033,1500,336.77229
-79.664198,1500,340.043617
-50.606708,1500,342.003705
-134.266525,1500,344.524583
-94.205462,1500,346.972206
-95.275458,1500,349.479669
-126.0,1500,351.918225
-19.758594,1500,354.311736
-112.183907,1500,357.460184
-64.159058,1500,359.845072
-137.620061,1500,365.22645
-67.972382,1500,367.5549
-103.0,1500,369.709129
