#{"t_start": 1739543333.7111511, "env_id": "supertuxkart/full-v0"}
r,l,t
-134.52251,1500,5.863081
72.784772,1500,8.444589
-103.0,1500,10.56779
-97.897219,1500,12.810856
-103.0,1500,14.915013
-81.327817,1500,17.267911
-116.769759,1500,19.828507
-135.35943,1500,21.843774
-99.0412,1500,24.905255
-150.0,1500,27.386946
-102.827571,1500,29.839594
-127.0,1500,31.991223
-69.672797,1500,34.571948
-102.956541,1500,37.5635
-97.537698,1500,39.7
-80.536084,1500,42.246934
-64.87962,1500,44.697236
-91.474765,1500,47.456643
-99.870859,1500,50.304819
-115.671838,1500,52.742755
-71.975122,1500,55.111704
-119.206717,1500,58.527998
-120.503931,1500,60.384917
-107.286435,1500,63.380333
-81.648628,1500,65.845532
-138.405362,1500,68.279041
-107.379001,1500,70.693918
-120.246786,1500,72.980045
-123.992148,1500,76.073289
-79.427119,1500,78.667179
-54.656628,1500,81.363534
-111.337497,1500,83.548416
-83.81577,1500,86.442162
-29.993011,1500,88.794932
-121.599573,1500,90.960701
-92.07865,1500,93.418142
-126.372632,1500,96.162038
-114.620461,1500,99.281314
-96.438411,1500,101.698849
-81.631714,1500,103.938775
-117.534212,1500,106.230955
-111.549228,1500,108.267616
-65.439758,1500,110.873773
-104.046904,1500,113.262367
-107.138092,1500,115.585762
-121.974134,1500,118.060933
-65.162036,1500,120.979326
-98.067377,1500,123.385784
-79.147757,1500,126.155139
-87.011728,1500,129.271619
-112.513411,1500,131.563514
-79.789629,1500,133.942533
-93.389699,1500,136.529752
-83.160852,1500,139.552541
-104.71302,1500,142.270247
-102.953316,1500,144.623293
-103.943941,1500,147.420103
-97.518213,1500,149.481662
-115.716871,1500,152.622977
-92.01129,1500,154.63024
-62.545789,1500,157.380427
-88.316385,1500,160.017609
-74.132004,1500,163.019055
-102.004771,1500,165.054157
-121.425894,1500,170.350872
-36.413678,1500,172.943385
-59.896866,1500,175.523355
-147.070243,1500,178.09307
-106.17038,1500,181.048391
-59.052765,1500,183.02467
-130.131696,1500,185.40714
-73.777109,1500,187.614572
-64.932944,1500,189.792162
-85.761952,1500,192.169951
-116.267367,1500,195.135899
-95.108331,1500,198.065364
-102.301125,1500,200.965694
-143.835591,1500,203.54558
-133.317757,1500,206.083827
-61.418158,1500,208.794916
-65.518018,1500,211.18939
-134.92605,1500,213.635762
-90.179428,1500,215.983481
-14.27699,1500,218.538179
-97.952722,1500,220.992597
-83.893735,1500,222.845613
-88.1825,1500,226.012382
-94.650391,1500,228.202052
-111.010966,1500,231.355528
114.162744,1188,232.961187
-105.243799,1500,235.08975
-99.345274,1500,237.404792
-66.031128,1500,239.509987
-64.12066,1500,242.00471
-69.52016,1500,245.086114
-102.296785,1500,247.38012
-145.741588,1500,249.652161
-107.171811,1500,252.67608
-135.088782,1500,254.68758
-41.648254,1500,256.660063
-100.406708,1500,259.317601
-131.046904,1500,261.753153
-93.080739,1500,264.605135
-79.137848,1500,267.339695
4.490955,1500,269.946976
-45.828802,1500,272.528964
-65.108963,1500,277.933371
-133.546846,1500,279.910516
-83.677695,1500,282.142541
-91.088782,1500,284.172678
-53.002148,1500,286.85118
-39.217169,1500,289.211908
-50.606708,1500,291.194207
-118.395088,1500,293.681576
-14.252698,1500,296.343459
-133.296066,1500,298.480792
-98.869095,1500,301.75743
24.201312,978,303.225923
-67.049628,1500,305.307389
-113.937813,1500,307.671783
-48.107349,1500,310.616946
-111.766586,1500,312.47619
-103.0,1500,314.643588
-29.589001,1500,317.22398
-47.62981,1500,319.859141
-68.558771,1500,322.219865
-144.405599,1500,324.417424
-142.395088,1500,326.915637
-88.329876,1500,330.191772
-99.318973,1500,332.172186
-112.188225,1500,337.516545
-92.37493,1500,340.902214
-109.874527,1500,342.918588
-128.850566,1500,345.182006
