#{"t_start": 1739544031.6364522, "env_id": "supertuxkart/full-v0"}
r,l,t
-134.338083,1500,6.153573
-82.069356,1500,8.791132
-127.059253,1500,10.73624
-131.678558,1500,13.081174
-97.068289,1500,15.332201
-124.085217,1500,18.45071
-148.332869,1500,21.637583
-77.958209,1500,23.495967
-79.513242,1500,26.218859
-95.364823,1500,29.484943
-33.094411,1500,32.402966
-132.115286,1500,34.834207
-118.653065,1500,38.025006
-137.301187,1500,40.434516
-82.424339,1500,42.946425
-110.823816,1500,45.42428
-103.0,1500,47.614181
-90.086461,1500,50.937516
-99.468689,1500,53.546194
-120.860095,1500,56.139586
-94.358926,1500,59.177146
-133.127585,1500,61.705364
-101.52419,1500,63.844125
-96.004221,1500,66.25036
-95.211076,1500,68.791035
-76.392041,1500,72.288858
-110.301891,1500,74.925655
-104.984082,1500,77.554705
-80.35228,1500,80.376792
-120.742567,1500,82.570822
-110.866763,1500,84.866212
-74.444089,1500,87.514012
-39.015173,1500,90.026587
-93.84054,1500,92.477636
-87.265544,1500,95.041462
-108.961432,1500,97.625017
-52.493274,1500,99.819127
-21.245209,1500,102.262174
-93.078767,1500,105.405978
-78.005588,1500,108.160575
-79.134082,1500,110.728739
-98.913718,1500,113.050855
-88.280238,1500,115.773054
-125.225087,1500,118.352079
-89.103177,1500,123.532041
-133.961317,1500,126.579649
-121.413208,1500,129.336659
-143.386681,1500,132.116286
-103.0,1500,134.730838
-63.438394,1500,137.310069
-103.360774,1500,140.278934
-102.316056,1500,143.035142
-95.442507,1500,144.868451
-112.777502,1500,148.120872
-57.05528,1500,150.708524
-100.166162,1500,153.87571
-44.896136,1500,157.664144
-77.784805,1500,160.163823
-66.06189,1500,163.214326
-46.172845,1500,165.611605
-140.709151,1500,170.281934
-101.491615,1500,172.671394
-82.513823,1500,175.251009
-70.383182,1500,178.173536
-145.764998,1500,180.610203
-80.937146,1500,182.546035
-117.151883,1500,184.995561
-99.343338,1500,186.947411
-112.762518,1500,189.197778
-56.776169,1500,191.662545
-91.434079,1500,194.038089
-92.806036,1500,196.967243
-124.015292,1500,199.429938
-93.476645,1500,201.988344
-97.211617,1500,204.46235
-82.984865,1500,206.872806
-72.28949,1500,209.298575
-26.178253,1500,212.101922
-144.397849,1500,215.291202
-47.690588,1500,217.841722
-61.532288,1500,219.835391
-115.436114,1500,223.164251
-100.829236,1500,225.354581
-89.54863,1500,230.811257
-41.656995,1500,232.786637
-93.575967,1500,235.394293
-144.945858,1500,237.503956
-77.895044,1500,240.079683
-42.076825,1500,242.680969
-97.360953,1500,246.396229
-27.745282,1500,249.636486
-109.161447,1500,253.257114
-83.800369,1500,256.705616
-117.458695,1500,259.082916
-96.310197,1500,261.344928
-121.339509,1500,263.550056
-140.904487,1500,269.016866
-88.676025,1500,271.470512
-75.383948,1500,274.15149
-80.859541,1500,276.183536
-135.789211,1500,281.434757
-136.15607,1500,283.673513
-97.939575,1500,286.186445
-116.566455,1500,288.619331
-122.753473,1500,290.837132
-102.84834,1500,296.143856
-131.267299,1500,298.622771
-41.196405,1500,301.266781
-100.18703,1500,303.457224
-45.828802,1500,306.03983
-0.777478,1500,309.111525
-47.087427,1500,311.712143
-2.080713,1500,314.730085
-100.08525,1500,316.971667
-10.813452,1500,319.566952
-119.525998,1500,324.727309
26.112317,1500,327.897633
-116.294744,1500,330.168866
-124.055188,1500,332.651661
-126.883125,1500,338.135325
-91.27442,1500,341.305001
-103.0,1500,346.740163
-48.5479,1500,349.473171
-14.431921,1500,352.110527
-110.837547,1500,355.798867
-149.023597,1500,359.459688
-33.678589,1500,362.593534
-102.131563,1500,364.780817
-60.150452,1500,367.447542
-130.628319,1500,370.077637
-14.850616,1500,372.469599
-115.333749,1500,374.837579
-59.811423,1500,376.972268
