#{"t_start": 1739550510.260354, "env_id": "supertuxkart/flattened_continuous_actions-v0"}
r,l,t
-149.137996,1500,5.835027
-102.827571,1500,8.213886
-96.662131,1500,10.412053
-147.931723,1500,12.474132
-148.847339,1500,15.127802
-145.929654,1500,20.550817
-124.67405,1500,23.066641
-101.721667,1500,25.54485
-82.629359,1500,28.376215
-93.097723,1500,30.306568
-76.015077,1500,32.909947
-121.902538,1500,35.077535
-88.899344,1500,37.499096
-99.880007,1500,39.886326
-121.358798,1500,41.920298
46.921968,1500,44.50741
-117.873156,1500,46.839622
-116.194923,1500,49.247582
-148.657132,1500,51.723123
-145.359746,1500,53.90497
-103.0,1500,59.261147
-102.187362,1500,61.226961
-91.667347,1500,64.223809
-107.34502,1500,66.12781
-93.564882,1500,68.474117
-148.664895,1500,71.222336
-102.209293,1500,73.485041
-100.34815,1500,75.986349
-99.067561,1500,77.886327
-121.326816,1500,80.189715
-149.796396,1500,82.693802
-123.320355,1500,85.979375
-108.904892,1500,88.21387
-121.088249,1500,90.51244
-148.206415,1500,92.803105
-123.739173,1500,95.230047
-144.763176,1500,97.507053
-147.232973,1500,99.820778
-81.908008,1500,102.098017
-113.685693,1500,104.470573
-148.317374,1500,106.868263
-123.951273,1500,109.754165
-60.264481,1500,112.201169
-91.046021,1500,114.708502
-87.272549,1500,117.220107
-101.741343,1500,119.194341
-121.211617,1500,121.484011
-148.847163,1500,123.712669
-145.211617,1500,125.936839
-123.710857,1500,129.090915
-114.750632,1500,131.108661
-124.709554,1500,133.042417
-101.052049,1500,135.902242
-86.927922,1500,138.859886
-99.880007,1500,141.223824
-120.143308,1500,143.845453
-101.415309,1500,147.067996
-102.597196,1500,149.339623
-129.114872,1500,151.866583
-57.792148,1500,154.411106
-122.945864,1500,156.835447
-125.026679,1500,159.205547
-145.809441,1500,162.216664
161.447276,1500,164.660058
-126.792868,1500,167.140154
-148.444402,1500,169.351969
-103.0,1500,171.520388
-89.110733,1500,173.851102
-65.57829,1500,176.322663
1671.6729,1500,179.212511
-124.940085,1500,182.232793
-88.09176,1500,184.033578
-114.314026,1500,186.596129
-135.701031,1500,189.829899
-34.745457,1500,192.331105
-101.423378,1500,195.085198
-91.507864,1500,198.035206
-101.664665,1500,200.821013
-125.722835,1500,202.643004
-91.49343,1500,204.643098
-144.150139,1500,207.678807
-137.750632,1500,209.778479
-150.0,1500,211.844219
-146.16937,1500,217.20142
-145.366293,1500,219.413333
-99.131239,1500,221.729684
-121.356338,1500,223.913581
-105.0,1500,226.190482
-127.0,1500,228.487596
-105.839972,1500,231.393924
-149.665711,1500,233.628078
-125.611324,1500,236.588987
-142.395088,1500,239.11869
-102.683487,1500,241.01384
-99.030206,1500,243.340573
-114.352087,1500,245.742503
-92.708825,1500,247.885067
-100.294589,1500,250.199207
-117.350332,1500,253.166745
-121.352526,1500,255.961117
-139.708825,1500,258.031234
-115.431669,1500,260.355402
-100.322856,1500,262.491935
-97.038199,1500,265.183182
-78.575613,1500,267.507002
-135.509753,1500,270.834808
-63.570465,1500,273.268205
-115.708825,1500,275.422698
-57.372473,1500,277.731945
-119.382616,1500,280.515341
-87.195918,1500,283.21826
-103.0,1500,285.474594
-125.849585,1500,287.614295
-121.827897,1500,290.319694
-144.793614,1500,292.246812
-126.632259,1500,295.070543
-146.958904,1500,296.997858
-89.839568,1500,299.200689
-147.063812,1500,301.599037
-102.889868,1500,304.336514
-127.393093,1500,306.763165
-148.317374,1500,309.308543
-56.04812,1500,312.093839
-125.0,1500,314.487779
-145.257649,1500,316.682935
-125.752285,1500,319.090044
-123.870917,1500,320.981589
-83.240118,1500,323.485956
-86.024158,1500,326.048011
-145.438321,1500,328.636263
-65.357751,1500,331.186909
-123.736658,1500,333.298977
-133.874527,1500,335.229416
