#{"t_start": 1739542958.338009, "env_id": "supertuxkart/full-v0"}
r,l,t
-135.894562,1500,5.73924
-101.704652,1500,8.612528
-125.0,1500,11.665401
-86.417667,1500,14.058855
-103.0,1500,16.19624
-114.688075,1500,18.893904
-97.997177,1500,20.894367
-102.963983,1500,23.729872
-105.149716,1500,26.161447
-124.721656,1500,28.413865
-103.308051,1500,30.842712
-56.019601,1500,33.722126
-103.699852,1500,36.046067
-101.181732,1500,38.3689
-145.413826,1500,40.34716
-110.509753,1500,43.384961
-123.357656,1500,46.615638
-122.16937,1500,51.822651
-97.081079,1500,54.24446
-68.464157,1500,56.983612
-82.125223,1500,59.341917
-123.34487,1500,62.596698
-107.90387,1500,64.719094
-128.012492,1500,67.198082
-145.910116,1500,69.372439
-101.0,1500,72.399158
-72.708825,1500,74.45526
-87.11479,1500,77.561822
-127.0,1500,79.868613
-93.955939,1500,82.207395
-60.081934,1500,84.919825
-79.227122,1500,86.94558
-69.645325,1500,90.442708
-124.492201,1500,92.679618
-144.091595,1500,96.014473
-125.317374,1500,98.432048
-124.119222,1500,101.746509
-115.753817,1500,104.029422
-123.730763,1500,106.398627
-79.802365,1500,108.713218
-109.646349,1500,110.816909
-145.211617,1500,113.039714
-95.556414,1500,115.500102
-57.292313,1500,117.415695
-106.259537,1500,119.986899
-115.538037,1500,123.091114
-109.880373,1500,125.051048
-122.980022,1500,127.828192
-145.315339,1500,130.468921
-109.848216,1500,132.922217
-121.348543,1500,135.810523
-92.229077,1500,137.859311
-99.616437,1500,139.952216
-114.484496,1500,145.234358
-123.372961,1500,148.419783
-139.468442,1500,150.603454
-123.321068,1500,153.715484
-112.045428,1500,156.259797
-124.140086,1500,158.252787
-86.874527,1500,160.044873
-68.70603,1500,162.396018
-135.789211,1500,167.666786
-98.782623,1500,170.225538
-149.268584,1500,172.539362
-89.462625,1500,174.505378
-115.405961,1500,176.976751
-129.703677,1500,179.346366
-84.14361,1500,181.111974
-76.222928,1500,183.409813
-147.326797,1500,186.726978
-75.66143,1500,189.692668
-100.320557,1500,192.562392
-100.748958,1500,195.521905
-141.841331,1500,197.939631
-24.392914,1500,200.435325
-13.067401,1500,203.250064
-127.280453,1500,205.592945
-112.795929,1500,208.040747
-130.993806,1500,210.067087
-111.789211,1500,215.463563
-35.053717,1500,218.113168
-95.40023,1500,220.331755
-103.672461,1500,223.189516
-71.706403,1500,225.66965
-73.435968,1500,228.77577
-143.474444,1500,231.131008
-141.405434,1500,234.240778
-143.998835,1500,236.756844
-99.304406,1500,239.04371
-143.475845,1500,241.169613
-112.142706,1500,243.649816
-129.157941,1500,246.407386
-142.275463,1500,248.958724
-91.464188,1500,251.669954
-105.80396,1500,254.091885
-121.929654,1500,259.366985
-81.740692,1500,261.596101
-66.977505,1500,264.489268
-8.905591,1500,267.57989
-103.071144,1500,273.053489
-127.0,1500,275.212374
-125.0,1500,278.231242
-61.039941,1500,280.21258
-88.986026,1500,285.591912
-143.334606,1500,288.201829
-97.358742,1500,291.602827
-109.98519,1500,293.813118
-97.211617,1500,296.304999
-84.597018,1500,298.919614
6.61098,1195,300.550569
-85.760626,1500,305.884363
-73.68364,1500,308.124481
-76.467035,1500,310.860067
-50.075879,1500,313.371475
-105.532217,1500,315.372932
-88.321689,1500,317.420161
-64.841119,1500,322.780453
-95.462646,1500,326.110479
-36.360754,1500,329.452623
-86.001396,1500,331.986333
-143.440044,1500,334.744859
-46.119238,1500,337.803929
-64.324304,1500,343.073357
-84.664301,1500,345.597635
-88.53441,1500,350.894716
-97.788135,1500,353.924821
-110.605946,1500,357.04677
-90.387735,1500,359.979049
-88.089911,1500,362.51718
-108.856694,1500,364.714925
-118.789832,1500,367.617796
-75.098492,1500,369.94081
-84.957495,1500,372.76498
-95.435937,1500,375.177558
