#{"t_start": 1739552336.834453, "env_id": "supertuxkart/flattened_continuous_actions-v0"}
r,l,t
-133.106731,1500,5.912871
-142.797086,1500,8.206886
-147.08525,1500,10.474338
-123.126543,1500,15.789283
-140.772479,1500,18.146425
22.233468,1500,20.895886
-145.926826,1500,23.355248
-120.849348,1500,25.491057
-145.311578,1500,27.69147
-150.0,1500,29.873883
-98.410206,1500,32.079232
-93.149972,1500,37.457236
-109.259404,1500,39.662621
-84.247337,1500,42.106119
-140.328301,1500,45.378422
-135.138928,1500,47.370122
-144.282872,1500,49.952848
-98.648628,1500,52.649276
-143.384978,1500,55.492077
-79.211617,1500,57.920018
-94.551421,1500,60.42682
-147.137578,1500,62.743765
-141.586352,1500,65.096999
-113.526128,1500,67.499836
-139.708825,1500,69.705953
-147.902168,1500,71.854366
-130.443367,1500,74.2043
-119.61909,1500,76.756142
-121.719232,1500,79.37787
-98.211617,1500,81.648396
-123.667822,1500,84.679516
-73.506095,1500,87.226197
-142.255449,1500,89.736881
-146.785159,1500,92.119647
-90.140443,1500,95.190096
-93.248063,1500,97.694268
-146.814828,1500,100.489501
-100.321087,1500,103.707733
-125.878124,1500,109.150833
-109.105424,1500,111.73662
-146.88794,1500,117.06812
-99.982118,1500,119.745021
-87.000589,1500,122.328055
-70.007018,1500,125.6773
-100.395063,1500,127.590094
-146.16937,1500,132.934316
-92.079995,1500,135.586515
-119.31225,1500,138.533333
-84.017488,1500,140.719393
-100.605483,1500,146.431766
-143.18222,1500,149.011295
-117.055256,1500,151.19035
-102.137488,1500,153.339744
-122.983518,1500,156.134519
-77.228706,1500,159.136818
-88.456802,1500,161.119956
-147.140252,1500,164.363463
-95.211835,1500,166.925302
-97.347233,1500,169.363855
-96.938257,1500,172.152352
-79.795647,1500,175.352641
-95.395088,1500,177.855069
-90.261613,1500,180.350534
-111.608173,1500,183.310775
-146.494694,1500,185.550957
-140.968031,1500,190.952398
-99.983879,1500,193.877087
-99.007796,1500,196.171331
-92.267367,1500,199.379072
-124.522747,1500,202.733923
-125.738556,1500,205.188476
-125.761596,1500,208.346421
-100.071744,1500,211.579235
-142.785563,1500,215.290571
-149.793038,1500,218.204657
-122.160118,1500,220.640561
-137.187643,1500,223.231031
-149.832354,1500,225.701081
636.320422,1500,228.186254
-90.956183,1500,230.157408
-100.312719,1500,233.546916
-123.954732,1500,235.717492
-101.380018,1500,237.531296
-141.916774,1500,240.01637
-85.420374,1500,242.56673
-122.497672,1500,244.937814
-99.123831,1500,247.306578
-122.169072,1500,252.874727
819.273828,1500,255.599021
-106.192595,1500,257.84281
-105.108673,1500,261.079607
-88.653925,1500,263.793219
743.23136,1500,266.452073
-106.166864,1500,269.038548
-98.648628,1500,271.568147
-85.933649,1500,273.987472
-48.286127,1500,276.543306
-115.708825,1500,278.692212
-148.765051,1500,281.57948
-93.329113,1500,283.799136
-49.147757,1500,286.415349
-75.422812,1500,289.048432
-146.653794,1500,291.329574
-89.667172,1500,294.279104
-93.204539,1500,296.372316
-99.16937,1500,301.819308
-122.16937,1500,307.279875
-90.833325,1500,309.773898
-99.753991,1500,311.951556
-85.419519,1500,314.528746
-101.380018,1500,316.494808
-77.712454,1500,318.999506
-116.916639,1500,321.475563
-95.395088,1500,323.983016
9.609879,1500,326.900934
-91.269978,1500,329.288707
-95.205175,1500,331.865707
-102.7778,1500,334.082466
-89.196567,1500,336.546084
-101.48203,1500,338.401779
-105.195619,1500,340.8783
-99.983623,1500,343.83301
-72.781836,1500,346.346736
-81.057312,1500,348.304647
-121.691017,1500,350.516923
-121.648628,1500,353.034828
-98.405351,1500,355.979445
-103.632195,1500,358.508969
-115.091318,1500,360.629412
-121.138237,1500,362.858721
-121.405351,1500,365.660584
-98.09957,1500,368.204167
-146.97861,1500,370.981029
