#{"t_start": 1739553425.221041, "env_id": "supertuxkart/flattened_continuous_actions-v0"}
r,l,t
-89.629034,1500,5.443354
-118.463496,1500,7.901651
-116.105051,1500,10.326289
-148.766206,1500,12.958476
-90.274435,1500,15.449584
-90.129672,1500,17.609998
-147.337875,1500,20.026681
-98.141406,1500,22.023652
-121.531738,1500,24.298302
-116.802234,1500,26.518586
-112.833249,1500,29.739046
-148.652923,1500,32.70701
-117.118803,1500,35.090307
-100.931723,1500,37.463371
-96.998835,1500,39.746128
-134.80218,1500,42.179298
-95.532804,1500,44.838311
-117.377316,1500,47.521596
-139.708825,1500,49.531775
-79.9285,1500,51.979674
-97.398735,1500,54.652484
-148.734532,1500,56.995444
-145.896667,1500,59.248837
-122.30486,1500,61.684957
-96.922906,1500,64.260314
169.820044,1500,66.747275
-117.174963,1500,69.860924
-89.364481,1500,72.983251
-87.437717,1500,75.392
-93.613348,1500,77.630376
-37.398901,1500,79.79181
-103.0,1500,81.929009
-123.904784,1500,84.943373
-101.508524,1500,87.077942
-105.284949,1500,89.244034
-91.159331,1500,91.183469
-138.339544,1500,93.5092
-124.308073,1500,95.595336
-86.874527,1500,97.602264
-140.306915,1500,99.863278
-79.279379,1500,102.317086
-122.761731,1500,104.579425
-80.768856,1500,107.164862
-95.904845,1500,109.652849
-121.855437,1500,111.622594
-92.134678,1500,114.132098
-80.060861,1500,116.585896
-147.32098,1500,119.91414
-117.69893,1500,121.981153
-115.735858,1500,124.275006
-146.414177,1500,126.675824
-122.16937,1500,132.264669
-143.444805,1500,135.323563
-143.998835,1500,137.791526
-120.711732,1500,140.237155
-101.76624,1500,143.033706
-103.583322,1500,145.46227
-100.400226,1500,147.807337
-143.246163,1500,150.864619
-100.160118,1500,153.043698
-95.943698,1500,155.502481
-109.597588,1500,157.881093
-142.974628,1500,160.247073
-125.137996,1500,162.664537
-149.242072,1500,165.242011
-111.263297,1500,167.764237
-146.16937,1500,173.344258
-136.853665,1500,175.16821
-126.329187,1500,177.623384
-96.323338,1500,180.605249
-135.001515,1500,182.591027
-145.299049,1500,185.244278
-150.0,1500,187.403329
-85.402904,1500,189.829458
-147.729004,1500,191.973543
-145.926779,1500,194.574738
-74.409241,1500,197.048756
-113.343497,1500,198.963018
-98.341655,1500,200.994869
-149.752437,1500,204.959076
-149.760595,1500,210.341129
-121.880007,1500,212.702216
-144.350608,1500,214.909617
-144.633307,1500,217.269249
-95.399021,1500,219.87183
-126.663764,1500,222.008955
1681.629028,1500,224.984891
-111.195465,1500,226.952238
-150.0,1500,229.27462
-98.004961,1500,231.320419
-103.734396,1500,233.722397
-123.995106,1500,236.889122
-104.879062,1500,239.322834
-150.0,1500,242.183315
-126.0,1500,245.004551
-126.0,1500,247.277755
-149.894306,1500,249.814801
-124.679001,1500,252.218778
-99.464099,1500,254.82333
-125.0,1500,259.372517
-150.0,1500,261.870023
226.827716,1500,264.808624
80.621004,1500,267.407791
286.401111,1500,270.037359
-126.0,1500,275.420151
-150.0,1500,278.488659
-150.0,1500,280.787774
-124.950892,1500,283.293335
-149.821929,1500,285.480873
-125.0,1500,289.118839
-126.0,1500,292.029776
-149.52013,1500,294.400019
-102.41958,1500,297.116015
-146.380018,1500,299.119252
738.105452,1500,302.080037
-98.320356,1500,304.183758
-99.044853,1500,306.624848
-97.581509,1500,308.69388
-150.0,1500,311.156022
-150.0,1500,314.786922
-126.752595,1500,317.235434
-66.26618,1500,319.788104
-150.0,1500,322.123772
117.932439,1500,323.937254
-126.0,1500,327.230319
-149.68912,1500,330.382534
-103.0,1500,332.614807
-149.771072,1500,335.090965
-125.760741,1500,337.110925
-81.961161,1500,339.610983
-102.728793,1500,342.762995
-126.0,1500,345.12395
-124.693211,1500,347.348076
