#{"t_start": 1739550166.097074, "env_id": "supertuxkart/flattened_continuous_actions-v0"}
r,l,t
-142.730199,1500,3.269733
-96.998835,1500,5.662666
-145.374184,1500,8.009291
-97.562023,1500,9.82913
-125.681558,1500,12.221634
-80.341571,1500,14.547537
-123.312635,1500,17.921579
-98.211617,1500,20.210435
-98.690234,1500,25.606578
-112.148021,1500,27.817707
-148.324401,1500,30.318197
-123.446634,1500,32.841801
-139.708825,1500,35.174466
-112.708974,1500,37.600415
-137.360618,1500,39.613386
-100.753473,1500,42.141913
-84.752878,1500,44.675301
-124.441262,1500,46.835543
-136.297197,1500,49.573122
-132.405521,1500,52.265671
-101.767286,1500,55.052842
-98.910123,1500,57.584677
-81.123195,1500,60.361109
-75.535679,1500,63.352708
-121.299049,1500,66.137183
-124.518626,1500,69.400263
-133.874527,1500,71.169771
-100.841574,1500,73.591763
-90.807483,1500,76.190567
-100.08525,1500,78.305028
-100.756636,1500,80.831581
-110.464059,1500,82.980746
-91.77139,1500,86.467404
-118.494134,1500,88.729725
-135.894562,1500,90.834302
-70.198654,1500,93.63089
-85.912761,1500,95.929001
-86.447807,1500,98.324149
-102.147684,1500,100.555511
-132.884328,1500,103.167353
-118.54715,1500,105.691385
-137.270986,1500,107.689424
-77.034116,1500,110.125018
-93.98335,1500,112.459845
-87.555591,1500,114.287347
-118.395088,1500,116.78535
-147.31304,1500,120.032194
-45.998835,1500,122.476872
-122.548868,1500,124.581675
-134.451865,1500,127.1863
-88.135837,1500,129.624543
-87.309944,1500,132.395483
-144.282976,1500,134.674805
-126.296174,1500,136.947041
-131.807547,1500,139.136932
-129.277959,1500,141.429891
-149.374802,1500,143.767656
-101.0,1500,146.298293
-150.0,1500,148.763961
-90.893005,1500,150.578941
-123.766693,1500,153.023565
-98.757527,1500,155.602074
-98.787133,1500,158.221424
-149.674279,1500,160.282826
-149.129978,1500,163.306212
-150.0,1500,166.654514
-123.168376,1500,169.117864
-149.918886,1500,172.013474
-124.349841,1500,174.502824
-121.116428,1500,176.91369
-97.600946,1500,178.864868
-53.160011,1500,180.889812
-117.620859,1500,182.787078
-104.82548,1500,185.101536
-125.813773,1500,190.312405
-150.0,1500,192.337493
-150.0,1500,194.616991
-99.073574,1500,197.015806
-88.894562,1500,198.989268
-116.08279,1500,201.542654
-104.646774,1500,203.655606
-150.0,1500,206.171225
1760.614966,1500,208.894206
-104.825958,1500,211.271797
-103.0,1500,214.634935
-103.0,1500,217.757802
-149.836956,1500,220.107441
-54.022488,1500,222.747482
-125.612686,1500,225.963024
-142.836005,1500,227.922245
-125.674085,1500,231.150652
-102.415574,1500,233.572689
-125.317374,1500,235.978054
-22.580853,1500,238.768236
-149.903661,1500,241.184408
-150.0,1500,243.572831
-30.889868,1500,246.449547
-103.0,1500,249.566551
-150.0,1500,252.229816
-91.244646,1500,254.684077
-67.807062,1500,257.224391
-100.349915,1500,259.709883
-125.919005,1500,261.727113
-149.84539,1500,267.103449
-102.400861,1500,270.249199
-121.48036,1500,272.298645
-100.165979,1500,275.423946
-125.816998,1500,277.383693
-146.78603,1500,279.752187
-101.664637,1500,282.517592
-120.924542,1500,284.89028
-114.126374,1500,287.933178
-103.0,1500,290.728566
-150.0,1500,293.862607
-124.679191,1500,296.401559
39.49538,1500,298.161673
194.69846,1500,300.774648
-103.0,1500,303.147096
157.751699,1500,305.082458
-150.0,1500,307.224233
-100.698337,1500,310.193112
-141.698935,1500,312.722666
325.335515,1500,315.473993
-125.903757,1500,317.757893
602.11908,1500,320.348648
111.532822,1500,323.211268
-150.0,1500,325.808537
-103.317374,1500,328.361027
-101.404781,1500,331.549346
-93.595833,1500,333.915637
-146.589691,1500,336.788416
-98.752412,1500,339.202537
227.559171,1500,342.04283
