#{"t_start": 1739550847.5754712, "env_id": "supertuxkart/flattened_continuous_actions-v0"}
r,l,t
-118.68491,1500,5.624059
22.612943,1500,8.490866
-109.952879,1500,11.394845
-147.324298,1500,13.557365
-92.819466,1500,16.143952
-124.197351,1500,18.540715
-120.842492,1500,20.972964
-122.063681,1500,23.00734
-136.78521,1500,26.115095
-92.058357,1500,29.548612
-97.760051,1500,31.844153
-121.211617,1500,34.134017
-145.797691,1500,36.569478
-117.278403,1500,39.045053
-148.251565,1500,42.335358
-92.846884,1500,45.759294
-87.489279,1500,48.101882
-100.423564,1500,51.395274
-77.2664,1500,55.743601
-149.308779,1500,59.724272
-95.254893,1500,63.182126
-112.615226,1500,67.082358
-145.690234,1500,72.843946
-80.739511,1500,74.950061
-146.765606,1500,77.84725
-127.905037,1500,80.935782
-109.105424,1500,83.267536
-117.438525,1500,85.945808
-145.299049,1500,88.768856
-121.690234,1500,94.023911
-68.633307,1500,96.663623
-150.0,1500,99.415591
-46.355326,1500,102.824803
-123.931723,1500,105.796297
-93.135803,1500,109.995343
-127.942039,1500,115.120845
-19.224543,1500,117.518249
-150.0,1500,119.749894
-100.68826,1500,123.778789
-93.016869,1500,126.309507
-126.0,1500,128.663253
-121.257565,1500,130.753927
-19.733038,1500,133.740702
-101.323902,1500,139.113477
-48.137996,1500,141.34015
-99.207258,1500,144.371087
-125.826237,1500,146.780824
-121.26374,1500,148.973004
-100.981631,1500,151.049849
-137.26272,1500,153.629657
-121.648628,1500,156.043013
-102.137996,1500,159.178935
-92.012807,1500,161.517029
-103.875,1500,164.193914
-104.284112,1500,166.129207
-119.0,1500,168.784961
-149.579478,1500,170.818146
-149.658712,1500,173.512907
-149.137996,1500,176.113958
89.470415,1500,177.953302
278.214893,1500,180.574381
-72.195389,1500,183.713903
-124.690725,1500,185.690854
-150.0,1500,188.631689
-100.269811,1500,191.129636
847.461646,1500,193.847371
-149.489049,1500,196.305737
-99.756145,1500,198.522147
-145.160118,1500,200.937988
-79.501566,1500,203.663731
-100.423564,1500,206.043733
-102.754004,1500,208.419969
-149.029896,1500,210.882804
-103.260798,1500,212.777965
-126.831374,1500,215.039025
-102.842381,1500,217.48537
-104.273072,1500,219.80547
96.174825,1500,221.773706
-149.946589,1500,224.959505
-123.0,1500,227.638839
-119.408373,1500,233.140818
-150.0,1500,236.547947
-39.8323,1500,240.099778
-90.988147,1500,242.994621
-99.16937,1500,248.367206
-67.806036,1500,251.266264
-149.71428,1500,253.785559
-121.265152,1500,255.976181
-145.933487,1500,261.578235
-121.021111,1500,263.857431
-124.859873,1500,265.816376
-125.615576,1500,268.240401
-96.273428,1500,270.810908
436.150012,1500,272.608029
-98.257491,1500,274.785923
-117.722726,1500,277.840549
-145.260315,1500,280.062814
-118.51356,1500,282.417469
-123.395063,1500,284.42947
-141.180818,1500,287.419004
-116.516351,1500,290.082023
-148.522687,1500,293.513158
-122.445279,1500,296.13651
-148.256782,1500,299.48573
-147.326657,1500,302.779199
-92.722726,1500,305.854347
-143.299049,1500,308.625096
-146.100975,1500,311.078977
-91.235999,1500,313.950006
-125.059622,1500,316.091949
-101.690407,1500,318.407479
-96.876028,1500,321.029313
-120.674656,1500,323.121566
-116.064433,1500,325.803093
-126.104871,1500,328.536608
-124.477426,1500,333.944305
-84.039243,1500,336.246322
-147.888955,1500,338.469524
-121.995502,1500,340.764434
-102.663413,1500,342.597899
-123.83987,1500,344.741562
-98.92965,1500,350.154263
-150.0,1500,353.293146
-118.998835,1500,355.724322
-124.012049,1500,358.404656
-102.630902,1500,361.76067
-137.263361,1500,364.271499
-93.64987,1500,367.237663
-124.31274,1500,370.148015
-103.0,1500,372.801163
-101.0,1500,376.596554
-150.0,1500,378.768261
-97.942809,1500,381.978452
