#{"t_start": 1739545154.000129, "env_id": "supertuxkart/full-v0"}
r,l,t
-145.690234,1500,11.0235
-104.763943,1500,13.344536
-141.151195,1500,15.754749
-122.736182,1500,17.983663
-119.580547,1500,20.420269
-148.11244,1500,22.746764
-95.338276,1500,28.033483
-114.303584,1500,30.35685
-81.334087,1500,33.416293
-82.481763,1500,35.794089
-101.729681,1500,38.176871
-142.951603,1500,40.378442
-96.376958,1500,43.10602
-123.0,1500,45.716148
-139.582672,1500,48.797946
-142.951603,1500,51.035904
-93.859813,1500,54.263636
-92.667181,1500,56.487885
-132.202852,1500,58.941047
-149.327625,1500,61.064197
-94.79246,1500,63.658671
-150.0,1500,68.926595
-117.7661,1500,70.963206
-150.0,1500,74.188802
-142.316786,1500,76.690659
-119.545525,1500,79.54351
-113.543349,1500,81.368956
-150.0,1500,84.503825
-121.38618,1500,86.680849
-118.847589,1500,89.728412
-100.489516,1500,92.745364
-112.376785,1500,95.301788
-104.119872,1500,97.698263
-111.195465,1500,99.583527
-101.235283,1500,104.851838
-84.695734,1500,107.839232
-117.233502,1500,110.467546
-84.956903,1500,112.32759
-90.588655,1500,116.026789
-126.814398,1500,119.252934
-123.232064,1500,121.999857
-109.760595,1500,127.141168
-150.0,1500,129.368362
-148.202604,1500,131.906684
-115.799937,1500,134.194268
-95.395088,1500,136.60335
-114.027942,1500,138.583948
-118.443018,1500,141.124463
-103.0,1500,143.039781
-101.0,1500,145.460329
-117.688181,1500,147.800933
-11.541907,1500,150.281161
-90.941724,1500,152.602198
-116.314158,1500,154.794246
-96.466007,1500,157.56854
-123.124035,1500,160.516271
-150.0,1500,164.011081
-114.594171,1500,166.59798
-117.055256,1500,168.799848
-145.690234,1500,173.936774
-109.615247,1500,176.486487
-137.012326,1500,178.638657
-60.20267,1500,180.773566
-47.248301,1500,182.57633
-91.405478,1500,185.075604
-99.566235,1500,187.393463
-106.728116,1500,190.371886
-136.462737,1500,193.363772
-142.40023,1500,195.620143
-130.11255,1500,198.379837
-77.953114,1500,200.937051
-117.155237,1500,203.889354
-95.105112,1500,206.334255
-134.964087,1500,208.745844
-106.256894,1500,211.201278
-140.503724,1500,213.154458
-80.048103,1500,216.033679
-79.977361,1500,221.283949
-143.323742,1500,223.128841
-93.808081,1500,225.730997
-112.285437,1500,228.966625
-105.0,1500,231.244256
-108.305716,1500,233.67035
-146.69478,1500,236.409507
-107.943071,1500,238.817874
-109.195146,1500,241.056313
-118.211507,1500,243.538094
-142.592519,1500,245.937126
-21.688086,1500,248.976868
-122.794795,1500,251.369913
-145.648628,1500,253.793017
-68.094156,1500,256.839538
-68.780853,1500,259.564019
-108.084683,1500,261.975301
-126.196381,1500,264.530232
-92.013834,1500,267.10515
-75.418332,1500,270.024156
-125.166162,1500,272.979377
-145.292106,1500,275.214625
-120.842492,1500,277.826955
-85.182303,1500,280.624387
-112.594208,1500,283.969578
-100.47077,1500,286.410218
-35.302209,1500,289.516717
-142.157785,1500,291.829067
-107.969064,1500,297.279075
-93.683406,1500,299.726072
-138.645113,1500,303.054844
-103.0,1500,305.853443
-88.000133,1500,308.559879
-134.195389,1500,311.702432
-91.086665,1500,314.852331
14.897388,1500,317.152305
-120.168497,1500,319.352609
-74.581415,1500,321.706831
-147.313304,1500,324.791729
-88.994305,1500,330.465457
-39.319928,1500,333.234186
-143.530341,1500,335.325676
-90.315543,1500,337.695173
-90.879782,1500,340.340029
-101.655579,1500,342.862867
-71.990485,1500,345.577817
-69.599109,1500,350.912011
-120.02435,1500,353.105205
-36.608533,1500,355.646484
-9.490417,1500,359.543586
-87.034918,1500,362.190367
-75.925566,1500,364.872832
-82.848848,1500,367.22961
-85.640417,1500,372.67884
18.658801,1500,375.958386
-89.151337,1500,378.243614
