#{"t_start": 1739542218.2566059, "env_id": "supertuxkart/full-v0"}
r,l,t
-114.204329,1500,9.138589
-78.914447,1500,11.675687
-85.560037,1500,13.854241
-136.456554,1500,16.532303
-121.690234,1500,21.808292
-110.891573,1500,24.016535
-110.165283,1500,25.999483
-123.0,1500,28.466634
-82.726958,1500,30.450084
-131.166795,1500,33.154786
-92.708825,1500,35.37662
-123.345639,1500,37.383748
-88.094365,1500,40.617367
-142.331958,1500,43.060167
-90.140443,1500,45.989715
-99.165525,1500,49.090146
-103.0,1500,51.28749
-81.393224,1500,53.830295
-140.306915,1500,55.842007
-124.683113,1500,58.065743
-76.046904,1500,60.433578
-126.0,1500,62.596326
-78.352798,1500,64.382355
-123.502234,1500,66.59828
-141.033163,1500,68.84766
-111.789211,1500,74.270795
-47.274176,1500,76.835651
-123.645758,1500,79.949702
-135.813275,1500,82.566105
-91.352087,1500,84.902105
-95.113507,1500,88.010449
-84.17627,1500,91.029168
-142.213722,1500,93.535165
-94.459909,1500,95.839926
-107.274138,1500,98.257343
-83.193431,1500,100.853588
-97.429813,1500,104.086488
-90.453265,1500,106.645377
-147.327006,1500,109.994374
-110.690936,1500,112.493078
-74.741995,1500,114.457743
-133.503065,1500,117.597959
-118.053822,1500,119.96724
-116.671158,1500,122.325502
-139.178194,1500,124.689874
-50.823047,1500,127.341002
-126.0,1500,129.516775
-107.42372,1500,132.164787
-80.363573,1500,135.1525
-111.789211,1500,140.671532
-91.942828,1500,143.154577
-121.047127,1500,145.140035
-139.803283,1500,150.288702
-106.506537,1500,152.820616
-97.842492,1500,155.392485
-147.140086,1500,157.360868
-119.944341,1500,160.343636
-59.991089,1500,162.983826
-97.761594,1500,165.327163
-101.286121,1500,168.249687
-96.998835,1500,170.671413
-92.980906,1500,173.668365
-96.310197,1500,175.811728
-82.595177,1500,177.637382
-64.574286,1500,180.414487
-88.321695,1500,182.593415
-80.366298,1500,185.050495
-79.220439,1500,187.442381
-43.402002,1500,189.925336
-99.600253,1500,192.207899
-115.33143,1500,194.657004
-126.376978,1500,197.067727
-150.0,1500,199.232744
-81.643126,1500,201.498269
-120.72178,1500,204.233473
-123.332868,1500,207.579743
-119.488583,1500,212.869868
-120.818036,1500,215.493083
-59.827768,1500,217.408884
-118.712326,1500,220.485115
-32.437634,1500,223.169793
-91.775572,1500,226.486019
-71.760382,1500,229.049668
-133.77164,1500,231.512458
-63.237045,1500,234.095039
-115.691702,1500,236.146796
-93.444458,1500,238.686889
-45.348596,1500,241.761519
-56.916696,1500,244.243973
-94.433524,1500,246.068338
1.752844,1500,250.38915
-127.407613,1500,253.69586
-94.986451,1500,256.201748
-136.143672,1500,261.39982
-107.191043,1500,264.455711
-142.20522,1500,266.925333
-116.306915,1500,269.100453
-97.125858,1500,271.289097
-97.146942,1500,274.213696
-77.654669,1500,276.767275
26.915991,1500,279.666328
-138.48005,1500,282.229285
-145.543794,1500,284.515416
-134.758383,1500,286.500665
-87.964087,1500,288.868238
-72.035443,1500,291.949022
-98.125012,1500,294.910081
-78.916519,1500,297.48119
-106.811423,1500,299.385201
-95.46553,1500,304.84208
-49.597287,1500,307.611933
-27.076343,1500,310.792943
-107.086461,1500,313.956755
-99.636241,1500,317.110821
-87.933548,1500,319.056163
-95.140547,1500,324.207931
-105.532217,1500,326.196983
-142.224527,1500,328.699033
-102.956541,1500,331.783349
-138.277521,1500,334.037019
-98.047453,1500,336.216471
-24.256122,1500,338.918921
-80.164143,1500,341.286462
-134.334827,1500,343.659676
-86.13609,1500,346.757615
-70.020972,1500,349.77439
-97.457413,1500,352.206146
-81.090015,1500,354.111387
-145.348711,1500,356.991459
-64.060831,1500,359.507833
-77.891933,1500,361.515078
-96.382168,1500,364.302622
-101.906799,1500,366.830982
