#{"t_start": 1739544787.434636, "env_id": "supertuxkart/full-v0"}
r,l,t
-143.485116,1500,6.383953
-112.994257,1500,9.528784
-88.212396,1500,12.548509
-75.257312,1500,14.70004
-126.161423,1500,17.486234
-90.998657,1500,20.467335
-150.0,1500,22.906862
-120.971811,1500,25.803278
-102.0,1500,28.52443
-118.488858,1500,31.576099
-148.981711,1500,34.881876
-96.092395,1500,36.909061
-137.770162,1500,40.165028
-73.938022,1500,42.405975
-137.093175,1500,44.390675
-121.011002,1500,46.966945
-45.532217,1500,48.915936
-96.966589,1500,51.945316
-136.0528,1500,54.047581
-146.688333,1500,56.430587
-116.882644,1500,59.793293
-115.764949,1500,62.956499
-101.635834,1500,67.203849
-96.381377,1500,69.982687
-111.175609,1500,72.533029
-96.83605,1500,75.124416
-125.239602,1500,77.232633
-105.532217,1500,79.278915
-126.015805,1500,81.695982
-79.976534,1500,84.485863
-82.046904,1500,86.839022
-91.990186,1500,89.552317
-108.039941,1500,91.610791
-94.172241,1500,93.782944
-106.811423,1500,95.721905
-70.708136,1500,98.304293
-111.363962,1500,100.458595
-103.803447,1500,102.676441
-95.205725,1500,105.233467
-96.461627,1500,107.421154
-113.749646,1500,109.339663
-102.727898,1500,111.186592
-112.186639,1500,113.666638
-96.400989,1500,116.338831
-97.507864,1500,119.182165
-64.209219,1500,122.298365
-122.160118,1500,124.649269
-53.876025,1500,127.2123
-116.131522,1500,130.017794
-69.921063,1500,133.143207
-77.663083,1500,135.29133
-137.615226,1500,138.372984
-78.259619,1500,141.27667
-135.789211,1500,146.818393
-43.469312,1500,149.362478
-86.381447,1500,152.119326
-90.363134,1500,154.535358
-141.31445,1500,156.821013
-82.886954,1500,159.431985
-136.275764,1500,161.663937
-44.093726,1500,164.233089
-78.00914,1500,169.692261
-111.378012,1500,171.964653
-137.865382,1500,175.208431
-142.210945,1500,177.844479
-78.580853,1500,180.920911
-29.786426,1500,184.067973
-68.514465,1500,186.024192
-82.148784,1500,191.358589
-18.978949,1500,194.495919
-110.249178,1500,196.486099
-125.72851,1500,198.341016
-61.965149,1500,200.906319
-101.937599,1500,203.822229
-71.129291,1500,207.125096
-88.019128,1500,209.731375
-71.433524,1500,211.787233
-81.906299,1500,214.436698
-84.603931,1500,216.863236
-88.703204,1500,219.490359
-89.320695,1500,222.751554
-91.09184,1500,225.244652
-128.998062,1500,227.937984
-124.102294,1500,231.257658
-95.632172,1500,236.962676
-73.252357,1500,240.232576
-111.789211,1500,245.779882
-87.482278,1500,248.451431
-125.166162,1500,251.830313
-111.32169,1500,253.893029
-75.687018,1500,255.864973
-115.74035,1500,258.3399
-9.567603,1500,261.051395
-7.271875,1500,263.530599
-126.329765,1500,265.851456
-140.422065,1500,269.13444
-50.482684,1500,271.732475
-118.128521,1500,274.072026
-91.351849,1500,276.649439
-120.525436,1500,279.226887
-115.390329,1500,281.431037
-34.156799,1500,283.951175
-82.169695,1500,286.185901
-75.663974,1500,288.656713
-129.427232,1500,290.894853
-126.740692,1500,293.018843
30.776587,1500,296.127092
-49.179492,1500,298.170223
-20.727734,1500,300.533845
51.144055,1355,303.383751
-95.755619,1500,305.990277
-77.912125,1500,308.054743
-33.546991,1500,310.033842
-115.708825,1500,312.268959
-48.836453,1500,314.636699
-102.182227,1500,317.054631
-112.986026,1500,322.572369
-115.708825,1500,324.804355
-88.548584,1500,327.03586
-62.565237,1500,329.403979
-84.173901,1500,331.901215
-82.222964,1500,334.697546
-10.691559,1500,337.289676
-146.97663,1500,339.940581
-129.158749,1500,342.345737
-103.0,1500,344.576619
-78.765799,1500,346.773738
-88.720773,1500,349.471469
-93.159226,1500,352.5677
-121.299049,1500,355.3889
-148.19287,1500,358.558049
-50.797748,1500,361.061815
-103.861826,1500,364.185968
