#{"t_start": 1739551231.7010188, "env_id": "supertuxkart/flattened_continuous_actions-v0"}
r,l,t
-142.694866,1500,6.055673
-100.180805,1500,8.240511
-126.989259,1500,11.307242
-137.93288,1500,13.076902
-96.517694,1500,15.395904
-99.350608,1500,17.779629
-115.008028,1500,19.682188
-119.689441,1500,21.977016
-148.05013,1500,25.39402
-100.313355,1500,28.253118
-123.08525,1500,30.459146
-92.267367,1500,33.451347
-142.395088,1500,36.04785
-100.423564,1500,38.480867
-146.900623,1500,40.318584
-150.0,1500,43.629393
-132.387636,1500,46.292964
-147.033062,1500,48.734597
-113.906527,1500,50.615179
-123.380018,1500,52.569191
-119.015095,1500,55.22205
-86.105424,1500,58.420761
-147.958398,1500,61.44093
-104.826703,1500,64.055341
-147.164031,1500,67.404512
24.019267,1500,69.991231
-99.1077,1500,72.936736
-108.955624,1500,75.414344
-140.742567,1500,78.523281
-146.905564,1500,80.44363
-148.655052,1500,82.983497
-85.312655,1500,86.290219
-88.615226,1500,89.505673
13.217775,1500,91.282952
-145.259787,1500,93.477695
212.549503,1500,96.053285
-124.522475,1500,99.349278
-102.243043,1500,101.649048
-121.880007,1500,103.98847
-121.211617,1500,106.42581
-100.887013,1500,108.863607
-121.257781,1500,110.908539
-70.444482,1500,113.46569
-92.123013,1500,115.925774
-123.126543,1500,121.567713
-98.929654,1500,126.958195
-98.282182,1500,129.178544
-148.66129,1500,131.827204
-123.175423,1500,134.71657
-142.951603,1500,137.003598
-119.446306,1500,139.388558
9.174825,1500,141.317353
-121.929654,1500,146.585467
-56.875,1500,149.187979
-119.446306,1500,151.715067
-149.930469,1500,155.224559
-148.765605,1500,158.393785
-114.041021,1500,160.796143
-142.63196,1500,163.489767
-124.900191,1500,166.379644
-145.648628,1500,168.937952
-97.421827,1500,172.385428
-88.016443,1500,175.287853
-125.704244,1500,178.454223
-149.384352,1500,180.582588
-144.016755,1500,183.091709
-149.305835,1500,185.246914
82.094041,1500,188.081247
-100.593629,1500,190.637522
-123.126543,1500,196.128982
73.829073,1500,199.515559
-125.73068,1500,202.081864
-98.066159,1500,204.724906
6.562317,1500,207.062452
-94.082463,1500,209.937138
-125.316183,1500,212.046222
186.118211,1500,213.967751
378.713007,1500,216.911861
503.0,1500,219.821163
-101.0,1500,222.886687
-123.40424,1500,225.119449
-136.765752,1500,227.944736
-101.380898,1500,229.963362
-150.0,1500,233.056501
-150.0,1500,235.332803
-101.931431,1500,237.280865
152.021138,1500,239.893514
-130.40676,1500,242.609743
-150.0,1500,245.654751
238.071183,1500,248.537918
-125.0,1500,251.574544
-102.454827,1500,253.706775
-126.0,1500,257.024646
84.757784,1500,258.814571
-99.0,1500,261.499637
-100.645122,1500,264.108364
158.010522,1500,266.058517
560.959924,1500,267.858897
113.0,1500,270.303182
411.057044,1500,272.934244
-126.831396,1500,275.258101
573.02608,1500,278.232367
-30.087744,1500,280.741586
-125.0,1500,283.222745
338.757359,1500,285.022087
-126.878916,1500,287.560387
-103.0,1500,290.050509
-125.0,1500,292.484442
-150.0,1500,294.825355
-150.0,1500,297.335347
-125.76229,1500,300.739306
-103.0,1500,302.762434
-148.706296,1500,304.980668
800.239954,1500,307.219764
-149.869553,1500,310.42591
181.043994,1500,312.220966
-103.0,1500,317.548863
-126.0,1500,320.514371
-150.0,1500,323.008525
416.890566,1500,325.884084
-103.0,1500,328.330213
-92.547714,1500,331.504055
556.073859,1500,333.467105
570.658105,1500,336.336983
-119.677014,1500,338.908881
-102.140086,1500,340.930933
-150.0,1500,344.276566
-149.901917,1500,346.477587
85.673617,1500,348.385381
-150.0,1500,350.827661
232.896798,1500,352.617099
-97.663973,1500,354.906947
-150.0,1500,357.394695
